a(t)_0,a(t)_1,a(t)_2,a(t)_3,v(t)_0,v(t)_1,v(t)_2,v(t)_3,x(t)_0,x(t)_1,x(t)_2,x(t)_3
-0.403619689,0.683658188,0.460810609,-1.038891763,-0.000550892,0.000367573,0.000210536,3.33796E-05,-1.98304E-07,4.72211E-07,4.27676E-07,-1.86168E-07
-1.314579577,0.184206593,0.455124795,-0.230136183,-0.00058577,0.000382,0.000225079,6.36599E-06,-2.19375E-07,4.85224E-07,4.34641E-07,-1.84596E-07
-0.700860269,-0.387907895,0.546217517,-0.991301142,-0.000626248,0.000375721,0.000241215,-1.96347E-05,-2.41822E-07,4.98344E-07,4.4217E-07,-1.8405E-07
-0.421683415,0.113417702,0.694946435,-1.197109204,-0.00064937,0.000368096,0.000261914,-6.418E-05,-2.65414E-07,5.11146E-07,4.50379E-07,-1.84864E-07
-0.908117764,0.449891628,0.319563024,-0.733342879,-0.000676399,0.000376644,0.000278169,-0.000103595,-2.89886E-07,5.23917E-07,4.59267E-07,-1.87292E-07
-0.569213171,0.571943524,0.345538215,-0.545374175,-0.000706171,0.000393995,0.00028763,-0.000130309,-3.15364E-07,5.37138E-07,4.68617E-07,-1.90985E-07
-0.619321837,0.063363729,0.38515936,-0.439534914,-0.000730267,0.000403833,0.00029832,-0.000151264,-3.41788E-07,5.50832E-07,4.78318E-07,-1.95582E-07
-0.457307545,-0.617684645,0.042155162,-0.091638927,-0.000752114,0.000390704,0.000303122,-0.000163399,-3.69001E-07,5.64409E-07,4.88279E-07,-2.00799E-07
-0.364472294,-0.92091016,0.079023176,-0.318421059,-0.000768967,0.000358649,0.000302005,-0.000173155,-3.96861E-07,5.77064E-07,4.98273E-07,-2.06418E-07
-0.638224436,0.03458874,-0.23794598,0.107728727,-0.000789241,0.000339276,0.000295492,-0.000179033,-4.25335E-07,5.88679E-07,5.08081E-07,-2.12316E-07
0.179285027,0.144610757,-0.416600234,0.431572928,-0.000798958,0.000340505,0.000279446,-0.000170434,-4.54283E-07,5.99898E-07,5.17415E-07,-2.1814E-07
-0.808347831,0.164620256,-1.076094783,1.101603273,-0.000811913,0.000344234,0.000247302,-0.000142708,-4.83561E-07,6.11169E-07,5.25784E-07,-2.23242E-07
-1.267267153,-0.029127307,-1.07585538,1.087126605,-0.000852696,0.000344599,0.000202563,-0.000102446,-5.13769E-07,6.22474E-07,5.32637E-07,-2.27013E-07
-0.842573839,-0.199419627,-0.947116586,0.591272233,-0.000893988,0.000337943,0.000160468,-7.21604E-05,-5.45447E-07,6.33613E-07,5.37789E-07,-2.29409E-07
-1.089482054,-0.041701252,-0.743025796,1.571582026,-0.0009317,0.000331066,0.000124935,-3.2645E-05,-5.78531E-07,6.44447E-07,5.41422E-07,-2.3045E-07
-0.320347587,-0.594773467,-0.375363122,0.602044241,-0.000959207,0.000316592,0.000100547,6.93819E-06,-6.12751E-07,6.54826E-07,5.43883E-07,-2.29962E-07
-0.813101443,-0.624938844,-0.201197668,-0.583674651,-0.000981282,0.000290925,8.66874E-05,4.84188E-06,-6.47801E-07,6.64391E-07,5.45594E-07,-2.2875E-07
-0.652485273,0.459987055,-0.565807958,-0.461876859,-0.001009674,0.000285676,6.92058E-05,-1.77524E-05,-6.83694E-07,6.7332E-07,5.46692E-07,-2.28018E-07
0.433687171,1.176641455,-0.311442605,-0.488949367,-0.001013927,0.000315166,4.96609E-05,-3.84409E-05,-7.20084E-07,6.8268E-07,5.47067E-07,-2.2812E-07
-0.047658016,1.090921005,0.176819173,-0.578944086,-0.001006501,0.000356709,4.44978E-05,-6.1312E-05,-7.56279E-07,6.93371E-07,5.46961E-07,-2.2906E-07
0.742783819,0.698529295,0.105177919,-0.245809741,-0.000993136,0.000388888,4.73825E-05,-7.94154E-05,-7.91939E-07,7.0544E-07,5.46808E-07,-2.30784E-07
1.167085659,1.057430787,0.309149007,-0.984917729,-0.000956399,0.000420304,5.2807E-05,-0.000105279,-8.26502E-07,7.18686E-07,5.46811E-07,-2.33348E-07
0.930859091,1.608870807,0.203033767,-1.423891336,-0.00091616,0.000469152,6.00978E-05,-0.000153755,-8.59452E-07,7.33428E-07,5.47055E-07,-2.37334E-07
0.604034265,1.144783432,-0.003690452,-1.682932499,-0.000886909,0.000519506,6.1333E-05,-0.000215512,-8.9094E-07,7.50023E-07,5.47459E-07,-2.43429E-07
-0.015892701,0.464823187,-0.26374162,-1.52773578,-0.000876002,0.000547628,5.35669E-05,-0.000279049,-9.21535E-07,7.68067E-07,5.47731E-07,-2.51915E-07
-0.603047705,0.344403485,-0.674077823,-0.882783128,-0.000888393,0.00056022,3.29072E-05,-0.000326938,-9.52044E-07,7.86825E-07,5.4745E-07,-2.62517E-07
-0.055040096,-0.06388701,-0.721240152,-0.772954234,-0.000901487,0.000562574,3.50304E-06,-0.000360107,-9.82929E-07,8.058E-07,5.46202E-07,-2.74641E-07
0.282298601,-0.321834233,-0.281158165,-0.761498288,-0.000897464,0.000552074,-1.82241E-05,-0.000390819,-1.01387E-06,8.24544E-07,5.43968E-07,-2.87952E-07
-0.738218069,-0.58649159,-0.305816642,-0.520638452,-0.000906616,0.000531535,-3.18674E-05,-0.000416555,-1.0448E-06,8.42617E-07,5.41057E-07,-3.02301E-07
-0.73777067,-0.690528893,-0.446645271,-0.087307326,-0.000935389,0.000503959,-4.86517E-05,-0.000429204,-1.07634E-06,8.59693E-07,5.37565E-07,-3.17338E-07
0.462208845,-0.678196755,-0.336938991,0.288573086,-0.000940918,0.00047471,-6.59759E-05,-0.000426208,-1.10841E-06,8.75607E-07,5.33424E-07,-3.32504E-07
0.659847266,-0.903681438,-0.149426837,0.283272574,-0.000919482,0.000441452,-7.75098E-05,-0.000416077,-1.14007E-06,8.90253E-07,5.28738E-07,-3.47361E-07
-0.060464807,-1.010197258,-0.351243301,0.419148071,-0.00090819,0.000401911,-8.9278E-05,-0.000403463,-1.17097E-06,9.03438E-07,5.23616E-07,-3.61725E-07
0.64144799,-0.566723898,-0.523074579,1.269680807,-0.000897285,0.000369,-0.000108205,-0.000371879,-1.20132E-06,9.15172E-07,5.17916E-07,-3.75183E-07
0.487207253,-0.374064465,-0.187791118,0.950054218,-0.000875857,0.000348465,-0.000123914,-0.000330171,-1.23093E-06,9.25829E-07,5.11565E-07,-3.87178E-07
0.39470755,-0.499018042,0.035332186,0.749033716,-0.000859254,0.000329304,-0.000128805,-0.000298644,-1.2597E-06,9.35675E-07,5.04836E-07,-3.97717E-07
0.366856975,-0.566300736,-0.6185364,0.809163183,-0.000845023,0.000306504,-0.000141978,-0.000269942,-1.28776E-06,9.44671E-07,4.97778E-07,-4.07054E-07
0.352316514,0.051877914,-0.773908743,-0.185338305,-0.000831653,0.0002944,-0.000170701,-0.000259347,-1.31518E-06,9.52956E-07,4.89935E-07,-4.15597E-07
-0.581852187,0.025641895,-0.45903436,-0.176276139,-0.000836609,0.000293745,-0.000196247,-0.000267782,-1.34233E-06,9.60958E-07,4.8107E-07,-4.24066E-07
-0.581237014,-0.104933686,0.088898536,-0.173426401,-0.000859534,0.000290068,-0.000205071,-0.000275955,-1.36992E-06,9.68841E-07,4.7157E-07,-4.32822E-07
-0.524137741,0.036946355,0.464102396,-0.48022917,-0.00088126,0.00028662,-0.000196071,-0.000289955,-1.39825E-06,9.76552E-07,4.62103E-07,-4.4197E-07
-0.478055665,0.314359011,0.281916952,0.032039692,-0.000900913,0.000291264,-0.000183381,-0.000299943,-1.42728E-06,9.84251E-07,4.53085E-07,-4.51546E-07
-0.39394469,0.17610607,0.85402952,-0.637249721,-0.00091798,0.00029857,-0.000163219,-0.00031292,-1.45689E-06,9.92146E-07,4.44729E-07,-4.61526E-07
-0.11929775,0.45871757,1.391787802,-1.0069747,-0.000928066,0.000308631,-0.000121737,-0.000345874,-1.48692E-06,1.00034E-06,4.37587E-07,-4.72354E-07
0.742895669,0.815261446,1.394181829,-0.735793653,-0.000916199,0.000330973,-6.999E-05,-0.000380608,-1.51679E-06,1.00912E-06,4.32264E-07,-4.84444E-07
1.551065681,0.730024609,0.914059743,-0.119851331,-0.000872173,0.000358462,-2.76335E-05,-0.000398118,-1.54547E-06,1.01883E-06,4.2877E-07,-4.97494E-07
0.710179631,0.849839794,1.234619939,0.285837338,-0.000828927,0.000386518,1.14977E-05,-0.000395873,-1.57235E-06,1.02956E-06,4.26856E-07,-5.10789E-07
0.756317633,0.742538102,2.057087866,-0.444607448,-0.000801146,0.000414712,7.25203E-05,-0.000399892,-1.59776E-06,1.04133E-06,4.26877E-07,-5.24066E-07
1.490890542,0.437257231,2.320311119,-0.035955051,-0.00075841,0.000434852,0.000154251,-0.000410096,-1.6217E-06,1.05398E-06,4.29645E-07,-5.37568E-07
-0.46670292,0.176045619,1.713904116,1.128048839,-0.000739392,0.000443998,0.000229077,-0.00038995,-1.64436E-06,1.06715E-06,4.35417E-07,-5.50825E-07
0.223968982,0.23589276,1.609883649,0.665536399,-0.000744854,0.000449228,0.000289943,-0.000356352,-1.66667E-06,1.08054E-06,4.43781E-07,-5.62996E-07
0.240243114,0.249313028,1.444635945,0.053412725,-0.000736666,0.000455848,0.000345401,-0.000343583,-1.68883E-06,1.0941E-06,4.54354E-07,-5.74226E-07
-0.640629205,0.268234397,1.147776615,0.346707737,-0.000745165,0.000463065,0.000391755,-0.000337002,-1.7109E-06,1.10787E-06,4.66849E-07,-5.85039E-07
