a(t)_0,a(t)_1,a(t)_2,a(t)_3,v(t)_0,v(t)_1,v(t)_2,v(t)_3,x(t)_0,x(t)_1,x(t)_2,x(t)_3
0.512597135,-0.054214745,1.357553218,1.27127666,0.001009684,0.004520283,0.013330286,0.00147395,3.69954E-06,2.66672E-05,7.74345E-05,7.46382E-06
0.291805826,0.388654099,1.726233354,0.784142485,0.001017447,0.004501735,0.013316128,0.001504087,3.72071E-06,2.67178E-05,7.75841E-05,7.48472E-06
1.54989126,0.322459534,1.579958313,0.555821495,0.001045168,0.00449048,0.013306209,0.001520318,3.74247E-06,2.67675E-05,7.77321E-05,7.50638E-06
0.850159532,0.459624345,1.600307542,1.056805395,0.001083544,0.004480598,0.013293798,0.001541734,3.76539E-06,2.68164E-05,7.78785E-05,7.52864E-06
0.302375622,0.58711689,1.704507561,0.500023629,0.001097732,0.004475819,0.013283732,0.001561988,3.78922E-06,2.68646E-05,7.80235E-05,7.55156E-06
0.661189462,0.921051847,1.861196618,0.908961,0.001108219,0.004479917,0.013278632,0.001579309,3.81341E-06,2.69125E-05,7.81671E-05,7.57507E-06
-0.411616942,0.95363529,1.656088367,0.723956023,0.0011049,0.004491032,0.013272517,0.001600872,3.83762E-06,2.69603E-05,7.83093E-05,7.59919E-06
0.199697597,0.22386288,1.427279251,-0.173027438,0.00109269,0.004488636,0.013257962,0.001601494,3.86142E-06,2.70078E-05,7.84501E-05,7.62359E-06
-0.151174914,0.164378449,1.194340437,-0.115633719,0.001085535,0.004471003,0.013234461,0.00158592,3.88474E-06,2.70547E-05,7.8589E-05,7.64757E-06
-0.634421546,0.742779909,1.561165203,0.335194796,0.001062321,0.004463401,0.013213525,0.001580184,3.90735E-06,2.71006E-05,7.87261E-05,7.67099E-06
-0.497517513,0.596789156,1.59127009,-0.197649172,0.001032506,0.004464127,0.013200214,0.001572876,3.92884E-06,2.71461E-05,7.88614E-05,7.69402E-06
-0.456860146,0.604345613,1.064045526,0.805743497,0.001006211,0.004462148,0.013177271,0.001574652,3.94914E-06,2.71912E-05,7.89949E-05,7.7168E-06
0.269156261,0.604285161,1.341992044,0.692779892,0.000994778,0.004460288,0.013149507,0.001593571,3.96861E-06,2.72358E-05,7.91264E-05,7.73985E-06
0.559406235,0.664857722,1.619998413,0.338329508,0.001002966,0.004459568,0.013132459,0.001603402,3.98792E-06,2.72801E-05,7.92559E-05,7.76331E-06
0.178558004,0.312364107,1.540935676,1.113743156,0.00100937,0.004453191,0.013119207,0.001621301,4.00741E-06,2.73238E-05,7.93839E-05,7.78716E-06
0.052111917,0.158031025,1.184644629,0.802038838,0.001005968,0.004437034,0.013097514,0.001648061,4.02687E-06,2.73668E-05,7.95101E-05,7.81174E-06
0.042660617,0.558039643,1.382091994,1.657644107,0.00099995,0.004425637,0.013072738,0.001685196,4.04604E-06,2.74088E-05,7.96344E-05,7.83739E-06
0.044114663,0.981382601,1.44685042,2.182223836,0.000993793,0.004430116,0.013053007,0.001748788,4.06488E-06,2.74504E-05,7.97568E-05,7.86485E-06
0.578476609,0.631427955,1.838273811,0.662629666,0.000997976,0.004435961,0.01304204,0.001792965,4.08358E-06,2.74919E-05,7.98776E-05,7.89422E-06
